Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m),Time
Georges Home,Dilithium2,996.793,45.318034577,-75.757423551,3.164,67.227,2021-07-29 19:35:48.557445
Ottawa Edge,Dilithium2,5.411,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:36.803147
Toronto Edge,Dilithium5,5.437,45.31704707,-75.756969405,3.633,168.731,2021-07-29 19:34:59.173294
Ottawa Edge,Dilithium3,996.259,45.315381278,-75.758478553,3.416,324.37,2021-07-29 19:33:35.428666
Georges Home,Dilithium3,994.702,45.316868627,-75.757041193,3.384,182.492,2021-07-29 19:34:53.496593
Toronto Edge,Dilithium3,979.761,45.317812413,-75.757609918,6.25,70.612,2021-07-29 19:41:08.776713
Toronto Edge,Dilithium3,14.76,45.317756215,-75.756697746,3.19,131.951,2021-07-29 19:35:22.435504
Ottawa Edge,Rainbow-I-Classic,973.03,45.317003286,-75.756981956,7.991,172.2,2021-07-29 19:42:22.723050
Toronto Edge,Dilithium2,978.649,45.316146954,-75.757315981,8.362,248.368,2021-07-29 19:40:30.905219
Georges Home,Rainbow-I-Classic,984.507,45.317933338,-75.75682079,3.254,115.2,2021-07-29 19:39:07.954997
Toronto Edge,Dilithium3,999.304,45.315691418,-75.757497014,3.468,294.345,2021-07-29 19:34:11.894654
Ottawa Edge,Rainbow-I-Classic,3.465,45.315511401,-75.757556438,3.56,313.239,2021-07-29 19:34:05.777072
Georges Home,Dilithium3,960.139,45.315259743,-75.757869732,7.922,338.118,2021-07-29 19:44:17.838577
Toronto Edge,Dilithium2,996.468,45.316480611,-75.757197319,3.644,216.208,2021-07-29 19:38:18.343573
Toronto Edge,Dilithium3,975.805,45.318015658,-75.757324659,6.724,75.149,2021-07-29 19:42:42.901611
Ottawa Edge,Dilithium3,4.97,45.315890043,-75.758359145,3.293,267.38,2021-07-29 19:33:18.190982
Toronto Edge,Rainbow-I-Classic,965.942,45.317961923,-75.757049571,7.976,97.329,2021-07-29 19:44:45.382455
Georges Home,Rainbow-I-Classic,10.398,45.316932471,-75.757959438,3.735,152.388,2021-07-29 19:32:42.362570
Ottawa Edge,Rainbow-I-Classic,990.058,45.317983831,-75.757018572,3.434,98.709,2021-07-29 19:39:12.264469
Toronto Edge,Rainbow-I-Classic,13.496,45.317228293,-75.757843915,3.901,121.577,2021-07-29 19:32:33.768151
Ottawa Edge,Dilithium2,2.193,45.317949967,-75.757569129,0.707,62.381,2021-07-29 19:32:08.752929
Georges Home,Dilithium3,0.901,45.317145719,-75.756931942,3.728,161.643,2021-07-29 19:35:02.493962
Ottawa Edge,Dilithium5,2.606,45.315944782,-75.758331097,3.033,261.206,2021-07-29 19:33:15.492391
Toronto Edge,Dilithium5,0.3,45.317474255,-75.757747217,3.644,97.657,2021-07-29 19:36:09.876774
Ottawa Edge,Dilithium3,403.836,45.315229966,-75.757838924,2.949,341.609,2021-07-29 19:33:52.597290
Georges Home,Dilithium5,997.128,45.315450335,-75.757584486,3.392,319.6,2021-07-29 19:34:03.639025
Ottawa Edge,Rainbow-I-Classic,6.745,45.315274319,-75.75814186,3.067,335.543,2021-07-29 19:33:44.850260
Toronto Edge,Dilithium3,960.806,45.317913005,-75.75686415,8.16,112.845,2021-07-29 19:44:43.856616
Georges Home,Dilithium5,6.827,45.316123599,-75.757337755,2.942,250.396,2021-07-29 19:34:26.796328
Toronto Edge,Dilithium3,961.987,45.31786265,-75.757600505,9.398,67.001,2021-07-29 19:43:51.657983
Ottawa Edge,Dilithium2,993.455,45.316300475,-75.758184581,3.281,221.471,2021-07-29 19:36:50.378379
Georges Home,Dilithium2,2.531,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:59.417408
Ottawa Edge,Rainbow-I-Classic,4.939,45.317317961,-75.756863291,3.56,150.7,2021-07-29 19:35:08.223595
Ottawa Edge,Dilithium2,8.562,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:41.147365
Ottawa Edge,Dilithium3,990.182,45.318013799,-75.757154548,2.92,87.557,2021-07-29 19:35:41.741083
Ottawa Edge,Rainbow-I-Classic,964.543,45.316275286,-75.757256745,15.462,236.115,2021-07-29 19:44:28.964495
Toronto Edge,Rainbow-I-Classic,969.248,45.315824603,-75.758408966,13.249,274.851,2021-07-29 19:44:07.374496
Toronto Edge,Dilithium3,975.499,45.316424046,-75.757206732,7.934,221.817,2021-07-29 19:40:34.992563
Toronto Edge,Dilithium2,992.632,45.318025197,-75.757451411,2.741,65.725,2021-07-29 19:35:49.814741
Ottawa Edge,Dilithium3,966.826,45.315282157,-75.758052196,6.794,334.839,2021-07-29 19:41:52.069252
Georges Home,Dilithium3,967.295,45.317979173,-75.757083517,7.927,94.143,2021-07-29 19:43:45.260329
Toronto Edge,Rainbow-I-Classic,972.433,45.31549412,-75.757571936,9.852,314.942,2021-07-29 19:43:20.640657
Georges Home,Dilithium3,3.553,45.31557404,-75.75754075,3.719,306.574,2021-07-29 19:34:08.555897
Ottawa Edge,Dilithium2,967.744,45.315827783,-75.758384244,7.217,274.389,2021-07-29 19:41:40.023581
Toronto Edge,Dilithium3,6.914,45.315747857,-75.757484464,3.728,288.375,2021-07-29 19:34:13.609413
Toronto Edge,Dilithium3,968.063,45.317347644,-75.756841516,8.362,149.555,2021-07-29 19:42:27.674045
Ottawa Edge,Dilithium5,996.869,45.317023472,-75.75791589,3.196,142.847,2021-07-29 19:36:24.914583
Ottawa Edge,Dilithium3,969.805,45.317679347,-75.756701074,7.784,135.803,2021-07-29 19:40:53.303337
Ottawa Edge,Dilithium5,996.38,45.315635106,-75.757512702,3.366,300.272,2021-07-29 19:34:09.402694
Ottawa Edge,Dilithium2,986.016,45.31533589,-75.758327273,3.368,328.825,2021-07-29 19:37:25.296719
Toronto Edge,Dilithium2,8.717,45.316808766,-75.758003174,3.451,165.688,2021-07-29 19:32:46.723613
Toronto Edge,Rainbow-I-Classic,976.363,45.315351813,-75.757625085,6.296,329.98,2021-07-29 19:41:57.560728
Toronto Edge,Dilithium3,1.343,45.315808923,-75.757456415,3.461,282.166,2021-07-29 19:34:15.937916
Toronto Edge,Dilithium2,3.628,45.317924912,-75.757575404,1.814,63.744,2021-07-29 19:32:11.350197
Ottawa Edge,Dilithium2,967.449,45.315580499,-75.75847485,6.81,302.262,2021-07-29 19:41:44.555630
Ottawa Edge,Dilithium2,971.45,45.318009141,-75.757219492,6.501,83.011,2021-07-29 19:41:01.183810
Toronto Edge,Dilithium2,973.012,45.317104966,-75.757897065,7.822,134.159,2021-07-29 19:41:19.544138
Georges Home,Dilithium2,993.659,45.316954748,-75.757006868,3.56,175.67,2021-07-29 19:34:55.636266
Toronto Edge,Rainbow-III-Classic,31.197,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:00.221829
Georges Home,Rainbow-I-Classic,981.801,45.317938156,-75.756910457,6.701,108.438,2021-07-29 19:40:58.110107
Ottawa Edge,Dilithium3,967.177,45.316308249,-75.758193805,7.276,220.605,2021-07-29 19:41:31.956782
Georges Home,Dilithium3,967.11,45.317172232,-75.757865878,7.822,127.286,2021-07-29 19:41:19.118139
Georges Home,Dilithium5,980.084,45.317538614,-75.756766589,3.75,140.147,2021-07-29 19:38:53.336418
Georges Home,Dilithium2,999.353,45.316240976,-75.757294017,3.468,238.856,2021-07-29 19:34:30.297377
Toronto Edge,Dilithium5,5.645,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:56.619146
Georges Home,Dilithium5,983.256,45.318034513,-75.757321522,3.432,74.541,2021-07-29 19:39:20.278541
Ottawa Edge,Dilithium3,3.051,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:03.584661
Toronto Edge,Rainbow-I-Classic,971.14,45.31777019,-75.756703832,9.185,130.828,2021-07-29 19:43:41.545549
Ottawa Edge,Rainbow-I-Classic,965.495,45.315320525,-75.757683941,7.92,332.834,2021-07-29 19:44:19.886576
Ottawa Edge,Dilithium5,988.748,45.315492672,-75.757562713,3.659,315.215,2021-07-29 19:37:48.022837
Ottawa Edge,Rainbow-I-Classic,968.968,45.317104966,-75.757897065,7.822,134.159,2021-07-29 19:41:19.358220
Ottawa Edge,Rainbow-I-Classic,985.909,45.318000362,-75.757513408,2.755,62.816,2021-07-29 19:39:24.384127
Toronto Edge,Dilithium3,996.474,45.317134649,-75.757875291,3.105,131.232,2021-07-29 19:36:20.705589
Georges Home,Dilithium3,975.107,45.317929917,-75.757569318,3.056,63.757,2021-07-29 19:39:31.780087
Ottawa Edge,Dilithium5,994.664,45.317987708,-75.757513408,2.896,63.556,2021-07-29 19:35:52.073582
Georges Home,Rainbow-I-Classic,976.024,45.316838827,-75.757990813,7.907,162.457,2021-07-29 19:41:24.019588
Ottawa Edge,Rainbow-I-Classic,959.841,45.317543115,-75.756747952,12.958,141.024,2021-07-29 19:44:39.089737
Toronto Edge,Rainbow-I-Classic,974.949,45.317955627,-75.757000125,6.593,101.186,2021-07-29 19:42:38.676491
Georges Home,Dilithium5,11.808,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:08.328809
Georges Home,Dilithium2,2.711,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:42.875385
Georges Home,Dilithium3,962.441,45.315544231,-75.757559386,11.114,309.6,2021-07-29 19:44:23.331736
Georges Home,Dilithium5,6.665,45.315864987,-75.75836542,3.014,270.185,2021-07-29 19:33:18.713868
Toronto Edge,Dilithium2,992.066,45.316696393,-75.758040824,3.735,177.898,2021-07-29 19:36:36.679896
Toronto Edge,Rainbow-I-Classic,982.817,45.317572904,-75.757709755,7.805,88.757,2021-07-29 19:41:13.026993
Georges Home,Dilithium2,979.272,45.315470801,-75.758475227,7.73,314.426,2021-07-29 19:40:06.409109
Ottawa Edge,Dilithium3,975.352,45.316840401,-75.758003174,8.798,162.188,2021-07-29 19:39:47.763957
Toronto Edge,Dilithium2,984.413,45.316195491,-75.757291069,8.004,243.755,2021-07-29 19:42:10.765978
Georges Home,Dilithium2,974.319,45.316289387,-75.757265968,7.998,234.401,2021-07-29 19:40:33.033519
Ottawa Edge,Dilithium3,6.626,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:41.238420
Ottawa Edge,Dilithium2,996.284,45.317165905,-75.757865878,3.196,127.974,2021-07-29 19:36:19.415744
Ottawa Edge,Dilithium2,996.408,45.315243973,-75.757795567,2.839,340.357,2021-07-29 19:33:54.168368
Georges Home,Dilithium3,987.078,45.317515133,-75.756785225,3.75,140.569,2021-07-29 19:38:51.886352
Georges Home,Dilithium3,982.573,45.315802595,-75.757456415,8.083,282.854,2021-07-29 19:40:25.793309
Toronto Edge,Dilithium2,967.501,45.316596288,-75.757138082,7.652,206.112,2021-07-29 19:42:16.979620
Toronto Edge,Dilithium3,971.004,45.315412693,-75.758422834,9.497,320.617,2021-07-29 19:43:11.056969
Georges Home,Rainbow-I-Classic,979.706,45.317039169,-75.756957044,8.622,170.005,2021-07-29 19:40:43.612336
Georges Home,Rainbow-I-Classic,992.154,45.316536923,-75.757181631,3.468,210.851,2021-07-29 19:38:21.127781
Ottawa Edge,Dilithium5,997.251,45.31569287,-75.758437202,3.725,289.601,2021-07-29 19:33:25.066290
Georges Home,Dilithium5,996.495,45.31753532,-75.757719168,3.644,92.239,2021-07-29 19:36:08.126040
Toronto Edge,Dilithium2,994.146,45.315560065,-75.757534664,3.834,308.185,2021-07-29 19:37:50.631572
Toronto Edge,Dilithium5,989.907,45.316228575,-75.757300293,3.834,240.027,2021-07-29 19:38:11.610672
Toronto Edge,Dilithium2,974.542,45.315251874,-75.757807928,6.396,339.393,2021-07-29 19:40:15.681724
