Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Georges Home,Dilithium5,5.889,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Dilithium5,986.197,45.315683644,-75.757487791,3.644,295.329
Ottawa Edge,Dilithium5,995.334,45.317731159,-75.756704022,3.293,132.799
Toronto Edge,Dilithium5,987.377,45.317169327,-75.756916443,3.82,160.34
Toronto Edge,Dilithium5,1.537,45.316892109,-75.757022557,3.484,180.972
Ottawa Edge,Dilithium5,984.944,45.317630936,-75.756729125,3.56,136.725
Toronto Edge,Dilithium5,979.896,45.317972782,-75.756981488,3.312,101.862
Toronto Edge,Dilithium5,5.674,45.315323577,-75.757656082,3.164,332.77
Ottawa Edge,Dilithium5,991.916,45.316984431,-75.756985094,3.659,173.814
Ottawa Edge,Dilithium5,998.699,45.31575381,-75.758406017,3.196,282.692
Georges Home,Dilithium5,989.344,45.315802727,-75.758390518,3.468,277.196
Ottawa Edge,Dilithium5,7.037,45.315461416,-75.757572126,3.553,318.531
Ottawa Edge,Dilithium5,6.779,45.315561391,-75.758471713,3.56,304.363
Toronto Edge,Dilithium5,986.555,45.315905998,-75.757406592,3.633,272.482
Georges Home,Dilithium5,996.682,45.317552716,-75.756775812,3.293,138.632
Toronto Edge,Dilithium5,987.14,45.316067286,-75.757353443,3.725,256.108
Toronto Edge,Dilithium5,1.007,45.31627856,-75.757284605,3.56,235.095
Georges Home,Dilithium5,984.558,45.316801487,-75.757075518,3.82,187.724
Ottawa Edge,Dilithium5,998.803,45.315994893,-75.758318547,3.033,255.603
Ottawa Edge,Dilithium5,979.21,45.317630936,-75.756729125,3.56,136.725
Toronto Edge,Dilithium5,986.338,45.315345612,-75.757628222,3.508,330.629
Georges Home,Dilithium5,2.395,45.317380474,-75.756844464,3.56,146.847
Georges Home,Dilithium5,993.192,45.31638817,-75.758162619,3.384,211.741
Georges Home,Dilithium5,976.935,45.317692001,-75.756701074,3.475,135.102
Ottawa Edge,Dilithium5,2.173,45.31557404,-75.75754075,3.719,306.574
Georges Home,Dilithium5,976.729,45.317900234,-75.757591092,4.281,64.627
Ottawa Edge,Dilithium5,27.987,45.315630231,-75.758452889,3.735,296.629
Georges Home,Dilithium5,999.269,45.316087216,-75.758281087,3.633,245.255
Toronto Edge,Dilithium5,995.437,45.317134649,-75.757875291,3.105,131.232
Ottawa Edge,Dilithium5,996.067,45.316776305,-75.757078656,3.3,190.087
Toronto Edge,Dilithium5,996.022,45.316954748,-75.757006868,3.56,175.67
Toronto Edge,Dilithium5,997.038,45.31614076,-75.75825009,2.929,239.253
Toronto Edge,Dilithium5,18.959,45.317466595,-75.756810138,3.105,142.452
Ottawa Edge,Dilithium5,992.196,45.315652387,-75.757497203,3.659,298.605
Ottawa Edge,Dilithium5,986.964,45.316807571,-75.758000225,3.468,165.842
Georges Home,Dilithium5,993.325,45.316751132,-75.758012775,3.105,172.002
Georges Home,Dilithium5,16.051,45.31527284,-75.75818208,2.85,335.68
Ottawa Edge,Dilithium5,10.378,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Dilithium5,994.191,45.316776188,-75.7580065,3.281,169.271
Ottawa Edge,Dilithium5,982.572,45.316327224,-75.757262831,3.659,230.487
Ottawa Edge,Dilithium5,6.378,45.315365761,-75.758410662,3.223,325.775
Ottawa Edge,Dilithium5,999.457,45.315561391,-75.758471713,3.56,304.363
Georges Home,Dilithium5,993.148,45.317109593,-75.757881566,3.575,133.873
Ottawa Edge,Dilithium5,994.036,45.316954748,-75.757006868,3.56,175.67
Georges Home,Dilithium5,143.463,45.31753532,-75.757719168,3.644,92.239
Georges Home,Dilithium5,991.52,45.316646526,-75.757128669,3.105,201.323
Toronto Edge,Dilithium5,994.561,45.31792359,-75.757569318,2.84,64.205
Ottawa Edge,Dilithium5,998.571,45.316327224,-75.757262831,3.659,230.487
Georges Home,Dilithium5,4.809,45.316444475,-75.757215955,3.033,219.437
Ottawa Edge,Dilithium5,992.82,45.316190871,-75.75823754,2.942,233.67
Toronto Edge,Dilithium5,984.475,45.316388289,-75.757234781,3.735,224.794
Toronto Edge,Dilithium5,990.64,45.317692001,-75.756701074,3.475,135.102
Georges Home,Dilithium5,994.72,45.317474255,-75.757747217,3.644,97.657
Georges Home,Dilithium5,990.288,45.317238167,-75.756897616,3.81,155.419
Georges Home,Dilithium5,991.042,45.317361746,-75.756850739,3.56,147.94
Ottawa Edge,Dilithium5,988.841,45.31753532,-75.757719168,3.644,92.239
Ottawa Edge,Dilithium5,995.716,45.316467957,-75.757197319,3.033,217.519
Georges Home,Dilithium5,6.798,45.317490077,-75.756791501,3.293,141.916
Toronto Edge,Dilithium5,984.011,45.31803933,-75.757411189,3.366,67.884
Toronto Edge,Dilithium5,7.464,45.31758518,-75.757700342,3.4,87.855
Georges Home,Dilithium5,2.788,45.317410283,-75.756825827,3.384,145.655
