Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Ottawa Edge,Dilithium3,956.569,45.316140627,-75.757315981,15.383,249.043
Georges Home,Dilithium3,972.254,45.317172232,-75.757865878,7.822,127.286
Toronto Edge,Dilithium3,978.762,45.317803159,-75.757640916,6.234,69.846
Georges Home,Dilithium3,995.448,45.316719993,-75.757094344,3.468,195.11
Ottawa Edge,Dilithium3,962.907,45.317504064,-75.757728581,12.169,95.133
Georges Home,Dilithium3,973.221,45.316552378,-75.757147496,7.744,210.296
Ottawa Edge,Dilithium3,994.261,45.316358354,-75.75725028,3.209,227.53
Georges Home,Dilithium3,999.905,45.317054476,-75.757900202,3.735,139.645
Toronto Edge,Dilithium3,999.58,45.316719993,-75.757094344,3.468,195.11
Ottawa Edge,Dilithium3,982.406,45.315447445,-75.758497,3.022,317.137
Toronto Edge,Dilithium3,992.053,45.315365761,-75.758410662,3.223,325.775
Ottawa Edge,Dilithium3,967.924,45.316123605,-75.758268726,7.192,241.188
Toronto Edge,Dilithium3,982.17,45.318034513,-75.757321522,3.432,74.541
Georges Home,Dilithium3,994.363,45.316240976,-75.757294017,3.468,238.856
Georges Home,Dilithium3,9.666,45.317264302,-75.757822141,3.911,118.1
Toronto Edge,Dilithium3,981.865,45.31797688,-75.757532045,0.0,62.989
Georges Home,Dilithium3,988.325,45.315744709,-75.757459742,3.633,289.1
Toronto Edge,Dilithium3,963.667,45.315337148,-75.758231335,8.676,328.541
Ottawa Edge,Dilithium3,978.214,45.317692001,-75.756701074,3.475,135.102
Ottawa Edge,Dilithium3,987.731,45.316998416,-75.757922165,3.188,145.524
Toronto Edge,Dilithium3,2.324,45.317949967,-75.757569129,0.0,62.381
Georges Home,Dilithium3,994.249,45.315398813,-75.758469329,2.854,322.377
Ottawa Edge,Dilithium3,9.261,45.317949967,-75.757569129,0.0,62.381
Georges Home,Dilithium3,998.573,45.317436671,-75.75775663,3.468,101.306
Georges Home,Dilithium3,974.915,45.316840401,-75.758003174,8.798,162.188
Georges Home,Dilithium3,52.73,45.31748653,-75.757737804,3.911,96.66
Toronto Edge,Dilithium3,985.908,45.31638817,-75.758162619,3.384,211.741
Georges Home,Dilithium3,2.706,45.317121869,-75.757872153,4.009,132.674
Georges Home,Dilithium3,969.598,45.317408583,-75.756810328,8.362,146.682
Georges Home,Dilithium3,976.543,45.315281462,-75.757733573,6.517,336.7
Georges Home,Dilithium3,1.589,45.316024949,-75.757375216,3.281,260.227
Ottawa Edge,Dilithium3,955.475,45.317987169,-75.757148462,7.705,89.09
Toronto Edge,Dilithium3,990.325,45.315974844,-75.758318736,3.56,257.831
Georges Home,Dilithium3,967.769,45.317408583,-75.756810328,8.362,146.682
Georges Home,Dilithium3,992.885,45.317023472,-75.75791589,3.196,142.847
Toronto Edge,Dilithium3,985.639,45.318007598,-75.757157685,3.441,87.574
Ottawa Edge,Dilithium3,988.265,45.31537681,-75.758447745,2.904,324.711
Toronto Edge,Dilithium3,978.33,45.316538252,-75.758118695,8.622,195.143
Ottawa Edge,Dilithium3,994.403,45.316776305,-75.757078656,3.3,190.087
Toronto Edge,Dilithium3,9.402,45.317949967,-75.757569129,0.0,62.381
Georges Home,Dilithium3,967.596,45.317971398,-75.757074293,6.741,95.137
Ottawa Edge,Dilithium3,3.812,45.315268934,-75.757736711,2.974,338.058
Ottawa Edge,Dilithium3,989.284,45.317267723,-75.756872704,8.713,154.266
Ottawa Edge,Dilithium3,989.879,45.317763989,-75.75670697,7.509,130.916
Toronto Edge,Dilithium3,996.781,45.317820188,-75.757619142,3.293,69.485
Ottawa Edge,Dilithium3,974.213,45.315671215,-75.758474473,11.879,292.205
Georges Home,Dilithium3,972.989,45.315851133,-75.757431504,8.083,277.993
Ottawa Edge,Dilithium3,982.46,45.315844932,-75.757434641,3.728,278.613
Georges Home,Dilithium3,979.459,45.317933338,-75.75682079,3.254,115.2
Georges Home,Dilithium3,986.898,45.31562441,-75.758465438,3.274,297.342
Ottawa Edge,Dilithium3,4.426,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Dilithium3,959.011,45.317062525,-75.756935269,15.39,168.88
Georges Home,Dilithium3,990.93,45.315826209,-75.758371883,3.468,274.514
Toronto Edge,Dilithium3,4.629,45.315323577,-75.757656082,3.164,332.77
Ottawa Edge,Dilithium3,957.857,45.316140627,-75.757315981,15.383,249.043
Georges Home,Dilithium3,961.607,45.316563434,-75.758115557,15.825,192.354
Toronto Edge,Dilithium3,968.142,45.316448976,-75.757197319,14.407,219.487
Ottawa Edge,Dilithium3,991.799,45.31638817,-75.758162619,3.384,211.741
Ottawa Edge,Dilithium3,981.536,45.316228575,-75.757300293,3.834,240.027
