Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Ottawa Edge,Dilithium5,988.748,45.315492672,-75.757562713,3.659,315.215
Ottawa Edge,Rainbow-I-Classic,968.968,45.317104966,-75.757897065,7.822,134.159
Ottawa Edge,Rainbow-I-Classic,985.909,45.318000362,-75.757513408,2.755,62.816
Toronto Edge,Dilithium3,996.474,45.317134649,-75.757875291,3.105,131.232
Georges Home,Dilithium3,975.107,45.317929917,-75.757569318,3.056,63.757
Ottawa Edge,Dilithium5,994.664,45.317987708,-75.757513408,2.896,63.556
Georges Home,Rainbow-I-Classic,976.024,45.316838827,-75.757990813,7.907,162.457
Ottawa Edge,Rainbow-I-Classic,959.841,45.317543115,-75.756747952,12.958,141.024
Toronto Edge,Rainbow-I-Classic,974.949,45.317955627,-75.757000125,6.593,101.186
Georges Home,Dilithium5,11.808,45.317949967,-75.757569129,0.0,62.381
Georges Home,Dilithium2,2.711,45.317949967,-75.757569129,0.0,62.381
Georges Home,Dilithium3,962.441,45.315544231,-75.757559386,11.114,309.6
Georges Home,Dilithium5,6.665,45.315864987,-75.75836542,3.014,270.185
Toronto Edge,Dilithium2,992.066,45.316696393,-75.758040824,3.735,177.898
Toronto Edge,Rainbow-I-Classic,982.817,45.317572904,-75.757709755,7.805,88.757
Georges Home,Dilithium2,979.272,45.315470801,-75.758475227,7.73,314.426
Ottawa Edge,Dilithium3,975.352,45.316840401,-75.758003174,8.798,162.188
Toronto Edge,Dilithium2,984.413,45.316195491,-75.757291069,8.004,243.755
Georges Home,Dilithium2,974.319,45.316289387,-75.757265968,7.998,234.401
Ottawa Edge,Dilithium3,6.626,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Dilithium2,996.284,45.317165905,-75.757865878,3.196,127.974
Ottawa Edge,Dilithium2,996.408,45.315243973,-75.757795567,2.839,340.357
Georges Home,Dilithium3,987.078,45.317515133,-75.756785225,3.75,140.569
Georges Home,Dilithium3,982.573,45.315802595,-75.757456415,8.083,282.854
Toronto Edge,Dilithium2,967.501,45.316596288,-75.757138082,7.652,206.112
Toronto Edge,Dilithium3,971.004,45.315412693,-75.758422834,9.497,320.617
Georges Home,Rainbow-I-Classic,979.706,45.317039169,-75.756957044,8.622,170.005
Georges Home,Rainbow-I-Classic,992.154,45.316536923,-75.757181631,3.468,210.851
Ottawa Edge,Dilithium5,997.251,45.31569287,-75.758437202,3.725,289.601
Georges Home,Dilithium5,996.495,45.31753532,-75.757719168,3.644,92.239
Toronto Edge,Dilithium2,994.146,45.315560065,-75.757534664,3.834,308.185
Toronto Edge,Dilithium5,989.907,45.316228575,-75.757300293,3.834,240.027
Toronto Edge,Dilithium2,974.542,45.315251874,-75.757807928,6.396,339.393
Georges Home,Dilithium3,988.438,45.316943677,-75.757950214,3.097,151.244
Ottawa Edge,Dilithium3,986.686,45.317068956,-75.757918839,8.777,137.818
Georges Home,Dilithium2,0.056,45.315395597,-75.757612535,3.248,325.297
Toronto Edge,Dilithium2,982.118,45.315599096,-75.757534475,7.815,303.913
Ottawa Edge,Dilithium2,966.877,45.315351813,-75.757625085,6.296,329.98
Toronto Edge,Dilithium5,5.346,45.317888902,-75.757597179,2.753,65.138
Toronto Edge,Dilithium3,987.991,45.315264813,-75.75796567,3.42,337.065
Georges Home,Dilithium5,4.949,45.315228487,-75.757879144,2.929,341.527
Toronto Edge,Dilithium3,990.094,45.31728961,-75.757822141,3.56,115.378
Toronto Edge,Dilithium3,3.531,45.316894887,-75.75796885,3.633,156.448
Ottawa Edge,Dilithium2,995.476,45.315708699,-75.757481515,8.095,292.689
Georges Home,Dilithium2,0.754,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Dilithium2,12.86,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Dilithium2,996.857,45.316805988,-75.757056882,3.56,187.974
Ottawa Edge,Dilithium2,997.203,45.316358354,-75.75725028,3.209,227.53
Toronto Edge,Dilithium2,997.082,45.316751132,-75.758012775,3.105,172.002
Ottawa Edge,Dilithium2,6.422,45.316665137,-75.758050237,3.457,181.315
Ottawa Edge,Dilithium3,962.448,45.316453831,-75.758168517,14.395,204.439
Ottawa Edge,Dilithium2,5.196,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Dilithium2,976.925,45.315408066,-75.758438333,7.524,321.2
Toronto Edge,Dilithium3,0.604,45.315247026,-75.757767708,2.842,340.229
Toronto Edge,Dilithium3,970.466,45.316262884,-75.75726302,8.179,237.272
Ottawa Edge,Dilithium3,966.93,45.316799787,-75.757060019,7.731,188.464
Toronto Edge,Dilithium2,991.587,45.316597989,-75.757153581,3.293,205.452
